source,target,weight
Erin Brockovich,Syriana,1
Erin Brockovich,Walk the Line,2
Erin Brockovich,The Constant Gardener,1
Erin Brockovich,Memoirs of a Geisha,1
Erin Brockovich,Brokeback Mountain,1
Erin Brockovich,Crash,1
Erin Brockovich,Tsotsi,1
Erin Brockovich,Hustle & Flow,1
Erin Brockovich,King Kong,1
Erin Brockovich,The Last King of Scotland,2
Erin Brockovich,Little Miss Sunshine,1
Erin Brockovich,The Queen,2
Erin Brockovich,Dreamgirls,1
Erin Brockovich,Pan's Labyrinth,1
Erin Brockovich,Marie Antoinette,2
Erin Brockovich,The Departed,1
Erin Brockovich,The Lives of Others,1
Erin Brockovich,There Will Be Blood,1
Erin Brockovich,No Country for Old Men,1
Erin Brockovich,Michael Clayton,1
Erin Brockovich,Elizabeth: The Golden Age,2
Erin Brockovich,Once,1
Erin Brockovich,Milk,2
Erin Brockovich,The Dark Knight,1
Erin Brockovich,The Reader,1
Erin Brockovich,Vicky Cristina Barcelona,1
Erin Brockovich,The Curious Case of Benjamin Button,1
Erin Brockovich,Slumdog Millionaire,1
Erin Brockovich,The Duchess,2
Erin Brockovich,Crazy Heart,1
Erin Brockovich,Inglourious Basterds,1
Erin Brockovich,The Blind Side,2
Erin Brockovich,The Young Victoria,2
Erin Brockovich,The Hurt Locker,1
Erin Brockovich,The Secret in Their Eyes,1
Pollock,"Crouching Tiger, Hidden Dragon",1
Pollock,Wonder Boys,1
Pollock,Training Day,1
Pollock,Iris,2
Pollock,Monster's Ball,1
Pollock,A Beautiful Mind,2
Pollock,The Lord of the Rings: The Fellowship of the Ring,1
Pollock,Black Hawk Down,1
Pollock,The Pianist,2
Pollock,The Hours,1
Pollock,Road to Perdition,1
Pollock,Nowhere in Africa,2
Pollock,Frida,2
Pollock,8 Mile,1
Pollock,The Lord of the Rings: The Two Towers,1
Pollock,Mystic River,1
Pollock,Monster,2
Pollock,Cold Mountain,1
Pollock,The Lord of the Rings: The Return of the King,1
Pollock,Master and Commander: The Far Side of the World,1
Pollock,The Barbarian Invasions,1
Pollock,Ray,2
Pollock,Million Dollar Baby,1
Pollock,The Aviator,2
Pollock,The Sea Inside,2
Pollock,Sideways,1
Pollock,Capote,2
Pollock,Syriana,1
Pollock,Walk the Line,2
Pollock,The Constant Gardener,1
Pollock,Memoirs of a Geisha,1
Pollock,Brokeback Mountain,1
Pollock,Crash,1
Pollock,Tsotsi,1
Pollock,Hustle & Flow,1
Pollock,King Kong,1
Pollock,The Last King of Scotland,2
Pollock,Little Miss Sunshine,1
Pollock,The Queen,2
Pollock,Dreamgirls,1
Pollock,Pan's Labyrinth,1
Pollock,Marie Antoinette,2
Pollock,The Departed,1
Pollock,The Lives of Others,1
Pollock,There Will Be Blood,1
Pollock,No Country for Old Men,1
Pollock,Michael Clayton,1
Pollock,Elizabeth: The Golden Age,2
Pollock,Once,1
Pollock,Milk,2
Pollock,The Dark Knight,1
Pollock,The Reader,1
Pollock,Vicky Cristina Barcelona,1
Pollock,The Curious Case of Benjamin Button,1
Pollock,Slumdog Millionaire,1
Pollock,The Duchess,2
